"Velocity Mag:0","Velocity Mag:1","Velocity Mag:2","Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Residual_Density","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Residual_Energy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7150.3,878.56,-0.0084242,0.0018559,13.276,1.6305,-1.669e-05,52753,1820.8,3439.2,6.1428,0.02919,2.3491e-07,0.0016872,0.00029333,1.6091e-05,6.0913,1,0.58898,0.56238,0.16812,0
7151.7,878.12,-0.0062433,0.0018597,13.306,1.633,-1.2945e-05,52867,1819.2,3429.2,6.1531,0.029161,2.2152e-07,0.0015829,0.00029392,1.5725e-05,5.6558,1,0.5905,0.56387,0.16838,0
7153.2,877.68,-0.0041669,0.0018636,13.336,1.6355,-9.3781e-06,52980,1817.5,3419.2,6.1634,0.029132,2.0754e-07,0.0014742,0.0002941,1.5391e-05,5.2042,1,0.59201,0.56536,0.16865,0
7154.6,877.23,-0.0021954,0.0018674,13.366,1.638,-5.9888e-06,53094,1815.8,3409.2,6.1737,0.029102,1.9297e-07,0.0013613,0.00029386,1.5087e-05,4.7363,1,0.59353,0.56685,0.16892,0
7156,876.78,-0.00032862,0.0018712,13.396,1.6405,-2.7772e-06,53207,1814.1,3399.2,6.1841,0.029073,1.7781e-07,0.0012441,0.00029321,1.4813e-05,4.2522,1,0.59504,0.56834,0.16918,0
7157.5,876.34,0.0014334,0.001875,13.426,1.643,2.5667e-07,53320,1812.4,3389.3,6.1944,0.029043,1.6205e-07,0.0011226,0.00029213,1.457e-05,3.7517,1,0.59656,0.56983,0.16945,0
7158.9,875.91,0.003244,0.0018788,13.456,1.6456,3.5107e-06,53434,1810.8,3379.3,6.2048,0.029014,1.5409e-07,0.0010603,0.00029061,1.4506e-05,3.4977,1,0.59807,0.57132,0.16971,0
7160.3,875.49,0.0050958,0.0018826,13.486,1.6481,6.9249e-06,53548,1809.1,3369.3,6.2152,0.028985,1.5021e-07,0.0010293,0.00028886,1.4607e-05,3.3737,1,0.59958,0.57281,0.16998,0
7161.8,875.07,0.0069163,0.0018865,13.516,1.6507,1.0303e-05,53662,1807.4,3359.3,6.2256,0.028956,1.4573e-07,0.00099403,0.00028694,1.4803e-05,3.2332,1,0.6011,0.5743,0.17025,0
7163.2,874.64,0.0087051,0.0018903,13.546,1.6532,1.3643e-05,53776,1805.7,3349.3,6.236,0.028926,1.4065e-07,0.00095441,0.00028483,1.5092e-05,3.0761,1,0.60261,0.57579,0.17051,0
7164.6,874.22,0.010463,0.0018941,13.576,1.6558,1.6947e-05,53890,1804.1,3339.3,6.2465,0.028897,1.3496e-07,0.00091049,0.00028254,1.5475e-05,2.9025,1,0.60413,0.57728,0.17078,0
7166.1,873.79,0.012189,0.0018979,13.606,1.6583,2.0214e-05,54003,1802.4,3329.3,6.2569,0.028867,1.2867e-07,0.00086224,0.00028007,1.5953e-05,2.7122,1,0.60564,0.57877,0.17104,0
7167.5,873.38,0.014045,0.0019017,13.636,1.6608,2.383e-05,54117,1800.7,3319.3,6.2674,0.028838,1.2577e-07,0.00084023,0.00027743,1.6391e-05,2.6308,1,0.60715,0.58026,0.17131,0
7168.9,872.98,0.016187,0.0019056,13.667,1.6635,2.8128e-05,54232,1799,3309.3,6.2779,0.028809,1.2857e-07,0.00086211,0.00027481,1.6675e-05,2.73,1,0.60867,0.58175,0.17158,0
7170.4,872.58,0.018384,0.0019095,13.697,1.6661,3.2557e-05,54347,1797.4,3299.3,6.2885,0.02878,1.3086e-07,0.00088028,0.00027225,1.6994e-05,2.8143,1,0.61018,0.58324,0.17184,0
7171.8,872.19,0.020639,0.0019133,13.727,1.6686,3.7116e-05,54461,1795.7,3289.3,6.299,0.028751,1.3263e-07,0.00089475,0.00026977,1.7348e-05,2.8836,1,0.6117,0.58474,0.17211,0
7173.2,871.79,0.022951,0.0019171,13.757,1.6712,4.1806e-05,54575,1794,3279.3,6.3096,0.028721,1.3388e-07,0.00090551,0.00026736,1.7738e-05,2.9379,1,0.61321,0.58623,0.17237,0
7174.7,871.39,0.02532,0.0019209,13.787,1.6738,4.6627e-05,54689,1792.3,3269.3,6.3201,0.028692,1.3461e-07,0.00091255,0.00026502,1.8163e-05,2.9772,1,0.61472,0.58772,0.17264,0
7176.1,870.99,0.027752,0.0019248,13.817,1.6763,5.1588e-05,54803,1790.6,3259.3,6.3307,0.028662,1.3535e-07,0.00091964,0.00026301,1.8596e-05,3.0154,1,0.61624,0.58921,0.17291,0
7177.5,870.61,0.030411,0.0019286,13.848,1.679,5.6946e-05,54918,1788.9,3249.2,6.3414,0.028633,1.5116e-07,0.0010369,0.00026872,1.8168e-05,3.4583,1,0.61775,0.5907,0.17317,0
7179,870.23,0.033111,0.0019325,13.878,1.6816,6.2406e-05,55034,1787.3,3239.2,6.352,0.028604,1.6701e-07,0.0011544,0.00027488,1.7686e-05,3.901,1,0.61927,0.59219,0.17344,0
7180.4,869.86,0.035851,0.0019364,13.909,1.6843,6.7968e-05,55149,1785.6,3229.1,6.3627,0.028574,1.8288e-07,0.001272,0.00028149,1.7149e-05,4.3434,1,0.62078,0.59368,0.1737,0
7181.8,869.48,0.038632,0.0019402,13.939,1.6869,7.3632e-05,55264,1783.9,3219.1,6.3734,0.028544,1.9879e-07,0.0013899,0.00028857,1.6557e-05,4.7855,1,0.6223,0.59517,0.17397,0
7183.3,869.11,0.041453,0.0019441,13.969,1.6895,7.9398e-05,55378,1782.2,3209.1,6.3842,0.028515,2.1473e-07,0.0015079,0.00029609,1.591e-05,5.2274,1,0.62381,0.59666,0.17424,0
7184.7,868.73,0.044316,0.0019479,13.999,1.6921,8.5266e-05,55493,1780.4,3199,6.3949,0.028485,2.307e-07,0.0016261,0.00030407,1.5209e-05,5.6689,1,0.62532,0.59815,0.1745,0
7186.2,868.37,0.046479,0.0019518,14.03,1.6948,8.9729e-05,55608,1778.7,3188.9,6.4057,0.028455,2.5566e-07,0.0018044,0.00032207,1.3776e-05,6.3019,1,0.62684,0.59964,0.17477,0
7187.6,868.02,0.048079,0.0019557,14.061,1.6975,9.3065e-05,55725,1777,3178.8,6.4166,0.028425,2.8833e-07,0.0020346,0.00034839,1.1793e-05,7.1015,1,0.62835,0.60113,0.17503,0
7189.1,867.67,0.049667,0.0019597,14.092,1.7003,9.6395e-05,55842,1775.3,3168.6,6.4275,0.028395,3.2215e-07,0.0022726,0.0003759,9.7788e-06,7.9278,1,0.62987,0.60262,0.1753,0
7190.5,867.32,0.051242,0.0019636,14.122,1.703,9.972e-05,55959,1773.6,3158.5,6.4384,0.028365,3.5711e-07,0.0025187,0.00040462,7.7337e-06,8.7809,1,0.63138,0.60411,0.17557,0
7191.9,866.97,0.052804,0.0019675,14.153,1.7057,0.00010304,56075,1771.9,3148.3,6.4494,0.028335,3.9323e-07,0.0027728,0.00043454,5.6576e-06,9.6608,1,0.63289,0.6056,0.17583,0
7193.4,866.62,0.054353,0.0019714,14.184,1.7084,0.00010635,56191,1770.2,3138.2,6.4604,0.028305,4.305e-07,0.0030348,0.00046568,3.5504e-06,10.568,1,0.63441,0.60709,0.1761,0
7194.8,866.27,0.055891,0.0019753,14.214,1.7111,0.00010966,56307,1768.4,3128,6.4713,0.028274,4.6892e-07,0.0033049,0.00049802,1.4119e-06,11.501,1,0.63592,0.60858,0.17636,0
7196.2,865.96,0.05528,0.0019793,14.246,1.714,0.00010873,56426,1766.7,3117.7,6.4825,0.028244,4.8288e-07,0.0033853,0.00052344,-3.9093e-07,11.731,1,0.63744,0.61007,0.17663,0
7197.7,865.65,0.054636,0.0019833,14.277,1.7168,0.00010773,56545,1764.9,3107.4,6.4937,0.028213,4.9778e-07,0.0034717,0.00055034,-2.204e-06,11.981,1,0.63895,0.61157,0.1769,0
7199.1,865.35,0.053968,0.0019873,14.309,1.7197,0.00010669,56663,1763.1,3097.1,6.5049,0.028183,5.1374e-07,0.0035651,0.00057877,-4.0289e-06,12.254,1,0.64046,0.61306,0.17716,0
7200.5,865.04,0.053276,0.0019913,14.34,1.7225,0.0001056,56782,1761.4,3086.7,6.5162,0.028152,5.3075e-07,0.0036654,0.00060873,-5.8657e-06,12.552,1,0.64198,0.61455,0.17743,0
7202,864.73,0.052561,0.0019953,14.371,1.7254,0.00010447,56900,1759.6,3076.4,6.5275,0.028121,5.4883e-07,0.0037728,0.00064022,-7.7144e-06,12.873,1,0.64349,0.61604,0.17769,0
7203.4,864.43,0.051822,0.0019993,14.403,1.7282,0.00010329,57019,1757.8,3066,6.5388,0.028089,5.6796e-07,0.0038871,0.00067325,-9.575e-06,13.219,1,0.64501,0.61753,0.17796,0
7204.8,864.13,0.050616,0.0020033,14.434,1.7311,0.00010119,57137,1756,3055.7,6.55,0.028059,5.7114e-07,0.003892,0.00068711,-1.1033e-05,13.235,1,0.64652,0.61902,0.17823,0
7206.2,863.87,0.048416,0.0020073,14.466,1.7341,9.7096e-05,57257,1754.4,3045.6,6.5612,0.028029,5.3683e-07,0.0036402,0.00065569,-1.1577e-05,12.474,1,0.64803,0.62051,0.17849,0
7207.6,863.62,0.046207,0.0020116,14.499,1.7373,9.2931e-05,57384,1752.7,3035.5,6.5726,0.028001,5.0061e-07,0.0033758,0.00062217,-1.219e-05,11.676,1,0.64955,0.622,0.17876,0
7208.9,863.4,0.043992,0.0020169,14.54,1.7414,8.8557e-05,57540,1751.2,3026.2,6.5849,0.027973,4.5926e-07,0.0030781,0.00058231,-1.3038e-05,10.771,1,0.65106,0.62349,0.17902,0
7210.2,863.19,0.041707,0.0020222,14.581,1.7456,8.3993e-05,57697,1749.6,3016.9,6.5973,0.027946,4.1839e-07,0.0027839,0.00054338,-1.3799e-05,9.8727,1,0.65258,0.62498,0.17929,0
7211.4,862.97,0.039351,0.0020275,14.622,1.7497,7.9241e-05,57854,1748,3007.6,6.6097,0.027919,3.78e-07,0.0024932,0.00050537,-1.4472e-05,8.9813,1,0.65409,0.62647,0.17956,0
7212.7,862.76,0.036924,0.0020328,14.663,1.7538,7.4299e-05,58010,1746.5,2998.3,6.6221,0.027892,3.3809e-07,0.002206,0.0004683,-1.5059e-05,8.0967,1,0.65561,0.62796,0.17982,0
7214,862.54,0.034438,0.0020381,14.704,1.758,6.9224e-05,58167,1745,2989.1,6.6344,0.027865,3.0011e-07,0.0019427,0.00042346,-1.4763e-05,7.2004,1,0.65712,0.62945,0.18009,0
7215.3,862.34,0.031933,0.0020433,14.745,1.7621,6.4112e-05,58323,1743.5,2980,6.6467,0.027839,2.6377e-07,0.0017001,0.00037136,-1.3659e-05,6.2912,1,0.65863,0.63094,0.18035,0
7216.6,862.13,0.029414,0.0020486,14.786,1.7662,5.8945e-05,58479,1742,2970.9,6.6589,0.027814,2.2769e-07,0.0014588,0.00032003,-1.2486e-05,5.3854,1,0.66015,0.63243,0.18062,0
7217.9,861.92,0.026881,0.0020538,14.827,1.7703,5.3721e-05,58635,1740.5,2961.8,6.6712,0.027788,1.9187e-07,0.0012187,0.00026946,-1.1246e-05,4.483,1,0.66166,0.63392,0.18089,0
7219.2,861.71,0.024333,0.0020591,14.868,1.7744,4.8441e-05,58791,1739,2952.7,6.6835,0.027762,1.5632e-07,0.00097989,0.00021966,-9.9368e-06,3.584,1,0.66318,0.63541,0.18115,0
7220.5,861.5,0.021771,0.0020643,14.909,1.7785,4.3106e-05,58946,1737.5,2943.6,6.6958,0.027736,1.2102e-07,0.00074236,0.00017063,-8.56e-06,2.6883,1,0.66469,0.6369,0.18142,0
7221.8,861.29,0.019194,0.0020696,14.949,1.7826,3.7714e-05,59102,1736,2934.5,6.7082,0.027709,8.5987e-08,0.00050608,0.00012237,-7.1147e-06,1.796,1,0.6662,0.6384,0.18168,0
7223.1,861.08,0.017288,0.0020748,14.99,1.7867,3.3689e-05,59258,1734.5,2925.3,6.7206,0.027683,6.7498e-08,0.00038064,0.0001005,-5.3944e-06,1.3161,1,0.66772,0.63989,0.18195,0
7224.4,860.88,0.015797,0.0020801,15.031,1.7908,3.0513e-05,59415,1733,2916.2,6.733,0.027657,5.9335e-08,0.00032428,9.4875e-05,-3.5524e-06,1.0932,1,0.66923,0.64138,0.18222,0
7225.7,860.68,0.014288,0.0020853,15.072,1.7949,2.7285e-05,59571,1731.5,2907.1,6.7454,0.027631,5.112e-08,0.00026719,8.9068e-05,-1.7384e-06,0.86682,1,0.67075,0.64287,0.18248,0
7227,860.48,0.01276,0.0020906,15.113,1.799,2.4004e-05,59727,1730,2898,6.7579,0.027604,4.2854e-08,0.00020937,8.3078e-05,4.7305e-08,0.637,1,0.67226,0.64436,0.18275,0
7228.3,860.27,0.011214,0.0020958,15.154,1.8031,2.067e-05,59883,1728.5,2888.9,6.7704,0.027578,3.4535e-08,0.00015083,7.6906e-05,1.8048e-06,0.40371,1,0.67377,0.64585,0.18301,0
7229.6,860.07,0.0096492,0.0021011,15.195,1.8072,1.7284e-05,60039,1727,2879.7,6.7829,0.027551,2.6165e-08,9.1568e-05,7.0551e-05,3.5343e-06,0.16697,1,0.67529,0.64734,0.18328,0
7230.9,859.86,0.0080658,0.0021063,15.236,1.8113,1.3846e-05,60195,1725.5,2870.6,6.7954,0.027525,1.7742e-08,3.1575e-05,6.4013e-05,5.2353e-06,-0.073228,1,0.6768,0.64883,0.18355,0
7232.2,859.67,0.0068139,0.0021116,15.277,1.8154,1.1075e-05,60352,1724,2861.5,6.8079,0.027499,1.2691e-08,-7.7421e-06,6.2766e-05,5.8952e-06,-0.22394,1,0.67832,0.65032,0.18381,0
7233.5,859.48,0.0057733,0.0021169,15.318,1.8195,8.7281e-06,60510,1722.5,2852.4,6.8205,0.027473,1.0156e-08,-3.1355e-05,6.52e-05,5.869e-06,-0.30748,1,0.67983,0.65181,0.18408,0
7234.8,859.29,0.0046989,0.0021222,15.359,1.8237,6.301e-06,60667,1721,2843.3,6.833,0.027447,7.8296e-09,-5.361e-05,6.756e-05,5.8658e-06,-0.38632,1,0.68134,0.6533,0.18434,0
7236.1,859.1,0.0035907,0.0021275,15.401,1.8279,3.7942e-06,60825,1719.5,2834.2,6.8456,0.027421,5.712e-09,-7.4499e-05,6.9846e-05,5.8857e-06,-0.46043,1,0.68286,0.65479,0.18461,0
7237.4,858.91,0.0024488,0.0021328,15.442,1.832,1.2075e-06,60983,1718,2825,6.8582,0.027395,3.8032e-09,-9.4022e-05,7.2058e-05,5.9286e-06,-0.52981,1,0.68437,0.65628,0.18488,0
7238.6,858.71,0.0012731,0.0021381,15.483,1.8361,-1.4593e-06,61140,1716.6,2815.9,6.8708,0.027369,2.1037e-09,-0.00011218,7.4197e-05,5.9945e-06,-0.59446,1,0.68589,0.65777,0.18514,0
7239.9,858.52,6.3381e-05,0.0021434,15.524,1.8403,-4.2065e-06,61297,1715.1,2806.8,6.8835,0.027343,6.1408e-10,-0.00012896,7.6261e-05,6.0836e-06,-0.65436,1,0.6874,0.65926,0.18541,0
7241.2,858.33,-0.0012854,0.0021488,15.566,1.8444,-7.1869e-06,61456,1713.6,2797.7,6.8961,0.027317,-1.1733e-09,-0.00014682,7.514e-05,6.0768e-06,-0.71273,1,0.68892,0.66075,0.18567,0
